phecodes,task,phenotype
264.3,264.3,Delayed milestones
264.9,264.9,"Lack of normal physiological development, unspecified"
269.0,ckd,Proteinuria
269.0,269.0,Proteinuria
270.0,270.0,Disorders of protein plasma/amino-acid transport and metabolism
270.1,270.1,Disturbances of amino-acid transport
270.11,270.11,Disturbances of sulphur-bearing amino-acid metabolism
270.12,270.12,Phenylketonuria [PKU]
270.2,270.2,Disorders of amino-acid metabolism
270.21,270.21,Disorders of urea cycle metabolism
270.3,270.3,Disorders of plasma protein metabolism
270.31,270.31,Polyclonal hypergammaglobulinemia
270.32,270.32,Paraproteinemia
270.33,270.33,Amyloidosis
270.34,270.34,Alpha-1-antitrypsin deficiency
270.35,270.35,Macroglobulinemia
270.38,270.38,Other specified disorders of plasma protein metabolism
271.0,271.0,Disorders of carbohydrate transport and metabolism
271.3,271.3,Intestinal disaccharidase deficiencies and disaccharide malabsorption
271.9,271.9,Other disorders of carbohydrate transport and metabolism
272.0,272.0,Disorders of lipoid metabolism
272.1,272.1,Hyperlipidemia
272.1,CVD_Metabolic_Lipid_Disorders,Hyperlipidemia
272.11,272.11,Hypercholesterolemia
272.11,CVD_Metabolic_Lipid_Disorders,Hypercholesterolemia
272.12,272.12,Hyperglyceridemia
272.13,272.13,Mixed hyperlipidemia
272.13,CVD_Metabolic_Lipid_Disorders,Mixed hyperlipidemia
272.14,272.14,Hyperchylomicronemia
272.9,272.9,Unspecified disorder of lipoid metabolism
274.0,274.0,Gout and other crystal arthropathies
274.1,gout,Gout
274.1,274.1,Gout
274.11,274.11,Gouty arthropathy
274.11,gout,Gouty arthropathy
274.2,274.2,Crystal arthropathies
274.21,274.21,Chondrocalcinosis
275.0,275.0,Disorders of mineral metabolism
275.1,275.1,Disorders of iron metabolism
275.11,275.11,Hereditary hemochromatosis
275.2,275.2,Disorders of copper metabolism
275.3,275.3,Disorders of magnesium metabolism
275.5,bone_metabolism,Disorders of calcium/phosphorus metabolism
275.5,275.5,Disorders of calcium/phosphorus metabolism
275.51,275.51,Hypocalcemia
275.53,bone_metabolism,Disorders of phosphorus metabolism
275.53,275.53,Disorders of phosphorus metabolism
275.6,275.6,Hypercalcemia
276.0,276.0,"Disorders of fluid, electrolyte, and acid-base balance"
276.1,276.1,Electrolyte imbalance
276.11,276.11,Hyperosmolality and/or hypernatremia
276.12,276.12,Hyposmolality and/or hyponatremia
276.13,276.13,Hyperpotassemia
276.14,276.14,Hypopotassemia
276.4,276.4,Acid-base balance disorder
276.41,276.41,Acidosis
276.42,276.42,Alkalosis
276.5,276.5,Hypovolemia
276.6,276.6,Fluid overload
276.8,276.8,Polydipsia
277.0,277.0,Other disorders of metabolism
277.1,277.1,Disorders of porphyrin metabolism
277.2,277.2,Other disorders of purine and pyrimidine metabolism
277.4,277.4,Disorders of bilirubin excretion
277.5,277.5,Other disorders of lipoid metabolism
277.51,277.51,Lipoprotein disorders
277.6,277.6,Other deficiencies of circulating enzymes
277.7,277.7,Dysmetabolic syndrome X
277.8,277.8,Carnitine deficiencies
278.0,obesity,"Overweight, obesity and other hyperalimentation"
278.0,278.0,"Overweight, obesity and other hyperalimentation"
278.1,278.1,Obesity
278.1,obesity,Obesity
278.11,278.11,Morbid obesity
278.11,obesity,Morbid obesity
278.3,obesity,Localized adiposity
278.3,278.3,Localized adiposity
278.4,278.4,Abnormal weight gain
279.0,279.0,Disorders involving the immune mechanism
279.1,279.1,Immunity deficiency
279.11,279.11,Deficiency of humoral immunity
279.2,279.2,Autoimmune disease NEC
279.7,279.7,Other immunological findings
279.8,279.8,Other specified disorders involving the immune mechanism
280.0,280.0,Iron deficiency anemias
280.1,280.1,"Iron deficiency anemias, unspecified or not due to blood loss"
280.2,280.2,Iron deficiency anemia secondary to blood loss (chronic)
281.0,281.0,Other deficiency anemia
281.1,281.1,Megaloblastic anemia
281.11,281.11,Pernicious anemia
281.12,281.12,Other vitamin B12 deficiency anemia
281.13,281.13,Folate-deficiency anemia
281.9,281.9,Deficiency anemias
282.0,282.0,Hereditary hemolytic anemias
282.5,282.5,Sickle cell anemia
282.8,282.8,Other hemoglobinopathies
282.9,282.9,Other hereditary hemolytic anemias
283.0,283.0,Acquired hemolytic anemias
283.1,283.1,Autoimmune hemolytic anemias
283.2,283.2,Non-autoimmune hemolytic anemias
283.21,283.21,Hemolytic-uremic syndrome
284.0,284.0,Aplastic anemia
284.1,284.1,Pancytopenia
284.2,284.2,Constitutional aplastic anemia
285.0,285.0,Other anemias
285.1,285.1,Acute posthemorrhagic anemia
285.2,285.2,Anemia of chronic disease
285.21,285.21,Anemia in chronic kidney disease
285.22,285.22,Anemia in neoplastic disease
285.3,285.3,Sideroblastic anemia
285.8,285.8,Hemoglobinuria
286.0,286.0,Coagulation defects
286.1,286.1,Congenital coagulation defects
286.11,286.11,Von willebrand's disease
286.12,286.12,Congenital deficiency of other clotting factors (including factor VII)
286.13,286.13,Congenital factor VIII disorder
286.2,286.2,Encounter for long-term (current) use of anticoagulants
286.3,286.3,Coagulation defects complicating pregnancy or postpartum
286.4,286.4,Acquired coagulation factor deficiency
286.5,286.5,Hemorrhagic disorder due to intrinsic circulating anticoagulants
286.6,286.6,Defibrination syndrome
286.7,286.7,Other and unspecified coagulation defects
